web_scraper_order,web_scraper_start_url,annee marque et model,prix,kilometrage,boite de vitesse,region vente
"1786443252-1","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2014 Nissan Qashqai","7 800 000","63 000 km","Automatique","Dakar"
"1786443252-2","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2006 Ford Taurus","3 800 000","200 000 km","Manuelle","Dakar"
"1786443252-3","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2010 Dacia Logan","2 000 000","161 000 km","Manuelle","Dakar"
"1786443252-4","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Hyundai Tucson","4 000 000","140 000 km","Manuelle","Dakar"
"1786443252-5","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Peugeot 307","2 100 000","140 000 km","Manuelle","Dakar"
"1786443252-6","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Peugeot 307","2 300 000","160 000 km","Manuelle","Dakar"
"1786443252-7","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2003 Volkswagen Golf","2 500 000","160 000 km","Manuelle","Dakar"
"1786443252-8","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Peugeot 307","3 200 000","140 000 km","Manuelle","Dakar"
"1786443252-9","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2005 Toyota Auris","3 500 000","179 315 km","Manuelle","Dakar"
"1786443252-10","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Mitsubishi L200","7 200 000","160 000 km","Manuelle","Dakar"
"1786443252-11","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Citroen C4","2 100 000","160 000 km","Manuelle","Dakar"
"1786443252-12","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Citroen Berlingo","3 300 000","214 000 km","Manuelle","Dakar"
"1786443252-13","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2011 Nissan Murano","2 300 000","188 000 km","Automatique","Dakar"
"1786443252-14","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2011 Ford Edge","9 800 000","80 000 km","Automatique","Dakar"
"1786443252-15","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Daewoo Matiz","3 000 000","120 000 km","Manuelle","Dakar"
"1786443252-16","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2004 Mercedes‒Benz 190","2 200 000","140 000 km","Manuelle","Dakar"
"1786443252-17","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2004 Peugeot 406","2 000 000","18 000 km","Manuelle","Dakar"
"1786443252-18","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2012 Mitsubishi L200","11 900 000","116 000 km","Manuelle","Dakar"
"1786443252-19","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2005 Renault Scenic","2 200 000","140 000 km","Manuelle","Dakar"
"1786443252-20","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2004 Renault Clio","1 900 000","120 000 km","Manuelle","Dakar"
"1786443252-21","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2004 Peugeot 605","2 200 000","160 000 km","Manuelle","Dakar"
"1786443252-22","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2006 Mitsubishi L200","7 500 000","160 000 km","Manuelle","Dakar"
"1786443252-23","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Honda Civic","2 300 000","180 000 km","Automatique","Dakar"
"1786443252-24","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Peugeot 307","2 300 000","210 000 km","Manuelle","Dakar"
"1786443252-25","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2002 Renault 19","2 100 000","160 000 km","Manuelle","Dakar"
"1786443252-26","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2014 Nissan Altima","2 500 000","110 000 km","Automatique","Dakar"
"1786443252-27","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2011 Toyota Camry","3 800 000","0 km","Automatique","Dakar"
"1786443252-28","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2005 Citroen C5","2 100 000","334 000 km","Manuelle","Dakar"
"1786443252-29","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Volkswagen Passat","2 900 000","265 000 km","Manuelle","Dakar"
"1786443252-30","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2006 Hyundai Tucson","3 000 000","164 231 km","Manuelle","Dakar"
"1786443252-31","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2012 Skoda Octavia","4 000 000","70 000 km","Manuelle","Dakar"
"1786443252-32","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Toyota Aygo","2 700 000","150 000 km","Manuelle","Dakar"
"1786443252-33","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2000 Toyota Prado","4 000 000","140 000 km","Manuelle","Dakar"
"1786443252-34","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 SsangYong Kyron","2 000 000","120 000 km","Automatique","Dakar"
"1786443252-35","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2011 Ford Escape","4 000 000","109 400 km","Manuelle","Dakar"
"1786443252-36","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2005 Renault Megane","2 000 000","160 000 km","Manuelle","Dakar"
"1786443252-37","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Peugeot 307","2 200 000","160 000 km","Manuelle","Dakar"
"1786443252-38","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Hyundai Tucson","2 600 000","110 000 km","Manuelle","Dakar"
"1786443252-39","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2006 Renault Megane","1 700 000","180 000 km","Manuelle","Dakar"
"1786443252-40","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2005 Toyota Land Cruiser Prado","3 800 000","130 000 km","Manuelle","Dakar"
"1786443252-41","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2011 Honda Elysion","3 500 000","160 000 km","Automatique","Dakar"
"1786443252-42","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2012 Nissan Altima","3 000 000","130 000 km","Automatique","Dakar"
"1786443252-43","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Peugeot 307","2 800 000","160 000 km","Manuelle","Dakar"
"1786443252-44","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Peugeot 307","2 000 000","160 000 km","Manuelle","Dakar"
"1786443252-45","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Peugeot 307","2 600 000","250 000 km","Manuelle","Dakar"
"1786443252-46","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Toyota Camry","3 500 000","145 000 km","Automatique","Dakar"
"1786443252-47","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Peugeot 307","1 900 000","160 000 km","Manuelle","Dakar"
"1786443252-48","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2012 Chevrolet Camaro","4 000 000","220 000 km","Manuelle","Dakar"
"1786443252-49","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2002 Rover 600","1 800 000","128 000 km","Manuelle","Dakar"
"1786443252-50","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2006 Ford Focus","2 150 000","160 000 km","Manuelle","Dakar"
"1786443252-51","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2010 Mazda 6","4 000 000","182 000 km","Automatique","Dakar"
"1786443252-52","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Renault Scenic","1 300 000","160 000 km","Manuelle","Dakar"
"1786443252-53","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Peugeot 308","2 500 000","140 000 km","Manuelle","Dakar"
"1786443252-54","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2011 Hyundai Sonata","3 500 000","66 000 km","Automatique","Dakar"
"1786443252-55","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2006 Citroen C4","2 200 000","160 000 km","Manuelle","Dakar"
"1786443252-56","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2006 Ford Escape","4 500 000","120 000 km","Automatique","Dakar"
"1786443252-57","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Dacia Logan","2 200 000","160 000 km","Manuelle","Dakar"
"1786443252-58","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Land Rover Range Rover Sport","6 000 000","130 000 km","Automatique","Dakar"
"1786443252-59","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2014 Ford Focus","4 500 000","115 000 km","Automatique","Dakar"
"1786443252-60","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Kia Sorento","3 800 000","140 000 km","Manuelle","Dakar"
"1786443252-61","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Peugeot 308","2 300 000","311 368 km","Manuelle","Dakar"
"1786443252-62","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Peugeot 307","2 000 000","160 000 km","Manuelle","Dakar"
"1786443252-63","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2006 Volkswagen Passat","2 500 000","164 686 km","Manuelle","Dakar"
"1786443252-64","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Renault Megane","1 600 000","160 000 km","Manuelle","Dakar"
"1786443252-65","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2010 Ford Escape","6 000 000","180 000 km","Automatique","Dakar"
"1786443252-66","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Renault Laguna","2 300 000","84 000 km","Manuelle","Dakar"
"1786443252-67","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Volkswagen Passat","2 000 000","90 000 km","Automatique","Dakar"
"1786443252-68","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Peugeot 307","2 400 000","160 000 km","Manuelle","Dakar"
"1786443252-69","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Peugeot 307","2 200 000","160 000 km","Manuelle","Dakar"
"1786443252-70","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Peugeot 407","2 800 000","120 000 km","Manuelle","Dakar"
"1786443252-71","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2003 Opel Astra","2 500 000","160 000 km","Manuelle","Dakar"
"1786443252-72","https://www.gaaraas.com/fr/users/dakar-auto?page=1","1989 Renault 19","2 300 000","180 000 km","Manuelle","Dakar"
"1786443252-73","https://www.gaaraas.com/fr/users/dakar-auto?page=1","Citroen C3","1 800 000","220 000 km","Manuelle","Dakar"
"1786443252-74","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Ford Edge","7 000 000","125 000 km","Automatique","Dakar"
"1786443252-75","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2002 Peugeot 406","2 200 000","140 000 km","Manuelle","Dakar"
"1786443252-76","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Peugeot 308","3 600 000","140 000 km","Manuelle","Dakar"
"1786443252-77","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2000 Volkswagen Golf","1 500 000","160 000 km","Manuelle","Dakar"
"1786443252-78","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2003 Peugeot 406","2 600 000","160 000 km","Manuelle","Dakar"
"1786443252-79","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Peugeot 308","3 300 000","256 730 km","Manuelle","Dakar"
"1786443252-80","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Hyundai Tucson","3 400 000","140 000 km","Manuelle","Dakar"
"1786443252-81","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Citroen C3","2 300 000","128 000 km","Manuelle","Dakar"
"1786443252-82","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2000 Peugeot 309","2 800 000","130 000 km","Manuelle","Dakar"
"1786443252-83","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Peugeot 307","2 500 000","160 000 km","Manuelle","Dakar"
